VideoID,Title,PublishDate,Views,Likes,Comments,WatchTimeMinutes,SubscribersGained,TrafficSource,DeviceType,Country,Impressions,CTR (%),AverageViewDuration (sec),Revenue ($)
VID10057,Video Tutorial #243,2024-12-20,29339,95,552,1160,8,Suggested Videos,TV,India,131297,3.67,663,82.53
VID10058,Video Tutorial #294,2021-12-02,3310,493,472,14547,114,Suggested Videos,Console,UK,66835,11.46,745,128.7
VID10059,Video Tutorial #172,2025-01-31,32069,3070,114,7464,153,Notifications,Console,Australia,104496,17.92,531,77.37
VID10060,Video Tutorial #294,2021-10-18,3195,150,99,14795,129,Notifications,Tablet,USA,16475,4.02,99,102.68
VID10061,Video Tutorial #274,2022-04-04,31803,1047,437,11591,74,Notifications,Console,Australia,133883,10.29,137,11.75
VID10062,Video Tutorial #125,2024-10-20,7852,2804,344,28,80,YouTube Search,Mobile,UK,9282,3.04,230,67.63
VID10063,Video Tutorial #126,2022-12-08,2313,399,348,9818,127,Suggested Videos,Desktop,Australia,93277,16.88,81,14.69
VID10064,Video Tutorial #176,2023-04-02,26963,4951,138,19572,33,Suggested Videos,Desktop,UK,95166,5.96,578,90.12
VID10065,Video Tutorial #1,2025-01-11,8205,4477,323,16378,146,Suggested Videos,Mobile,Canada,124501,15.93,658,42.52
VID10066,Video Tutorial #200,2023-10-31,972,552,301,5587,38,Notifications,Tablet,UK,88248,5.81,288,43.45
VID10067,Video Tutorial #299,2022-12-09,6745,295,293,4091,12,External,TV,Australia,103906,14.7,511,11.98
VID10068,Video Tutorial #84,2023-08-08,20722,1144,528,6464,132,Suggested Videos,TV,Australia,144092,4.56,293,46.88
VID10069,Video Tutorial #130,2024-04-04,38576,456,291,8943,49,Browse Features,Tablet,USA,22244,5.98,332,76.25
VID10070,Video Tutorial #253,2022-08-09,45394,1554,73,2681,22,External,Tablet,Canada,120370,4.27,605,87.91
VID10071,Video Tutorial #295,2025-03-21,19064,169,774,10981,121,YouTube Search,Tablet,Canada,133737,5.49,583,10.47
VID10072,Video Tutorial #71,2024-04-28,7866,4806,483,14980,119,YouTube Search,Tablet,Australia,89009,15.19,584,97.89
VID10073,Video Tutorial #195,2022-06-12,25793,1947,15,6397,87,External,Console,India,130761,11.86,154,73.59
VID10074,Video Tutorial #243,2022-11-05,40374,254,525,6843,156,External,Desktop,UK,33899,7.9,299,80.77
VID10075,Video Tutorial #144,2024-04-26,49043,2377,335,19018,111,Browse Features,Mobile,Germany,34610,17.52,888,125.0
VID10076,Video Tutorial #244,2023-10-17,28589,1321,792,524,110,YouTube Search,TV,Australia,88019,8.9,774,51.66
VID10077,Video Tutorial #141,2025-08-26,30152,2884,515,216,71,Suggested Videos,Tablet,UK,113143,17.49,509,26.52
VID10078,Video Tutorial #193,2024-03-03,38748,3608,126,957,153,Notifications,Desktop,Canada,53342,4.34,161,83.0
VID10079,Video Tutorial #113,2023-07-19,11683,2126,517,10643,56,External,Mobile,USA,46646,16.38,31,141.78
VID10080,Video Tutorial #169,2025-10-11,23434,3497,128,15390,0,Suggested Videos,TV,USA,70039,1.23,144,77.92
VID10081,Video Tutorial #12,2025-02-09,3562,2241,510,18222,155,External,Console,USA,121365,10.27,510,124.87
VID10082,Video Tutorial #154,2025-03-04,6116,401,422,6871,112,Browse Features,Tablet,USA,4997,8.19,30,113.68
VID10083,Video Tutorial #161,2025-11-14,31550,2157,384,6104,61,YouTube Search,Desktop,India,131335,9.93,360,77.99
VID10084,Video Tutorial #114,2023-04-14,13257,2377,231,6355,46,Notifications,Console,Australia,52640,10.41,606,97.31
VID10085,Video Tutorial #277,2025-04-17,20156,363,194,18561,77,YouTube Search,Tablet,Germany,30130,7.61,666,61.3
VID10086,Video Tutorial #136,2022-12-07,14372,3939,64,13970,105,Suggested Videos,Console,Canada,55413,17.97,797,79.83
VID10087,Video Tutorial #196,2022-04-03,34878,3852,614,6542,186,Browse Features,Mobile,UK,128170,17.6,420,76.34
VID10088,Video Tutorial #47,2022-03-23,46831,3413,276,5953,158,YouTube Search,TV,Germany,29970,17.35,863,106.51
VID10089,Video Tutorial #225,2024-03-05,19468,2307,669,14579,197,Notifications,Tablet,Germany,116665,17.64,172,61.79
VID10090,Video Tutorial #158,2021-11-04,2437,85,223,9858,125,YouTube Search,Mobile,Australia,124803,14.48,357,15.42
VID10091,Video Tutorial #200,2024-02-06,8081,1825,277,8803,176,Browse Features,TV,Canada,57355,17.81,787,118.41
VID10092,Video Tutorial #226,2025-06-12,1849,3886,693,5449,4,Browse Features,Console,Germany,92507,16.17,657,102.89
VID10093,Video Tutorial #46,2025-07-08,35598,308,365,1213,30,Notifications,Console,India,118052,8.07,406,142.54
VID10094,Video Tutorial #137,2023-12-15,33945,4358,515,9593,36,Notifications,TV,India,109496,14.34,844,64.59
VID10095,Video Tutorial #76,2022-08-23,24964,1922,214,14421,78,Notifications,TV,Germany,23774,16.51,119,12.19
VID10096,Video Tutorial #15,2023-01-09,40183,631,438,13127,142,Suggested Videos,Mobile,Australia,137762,13.11,837,18.68
VID10097,Video Tutorial #209,2022-02-01,14685,4776,427,7396,51,Suggested Videos,Console,India,40526,8.19,71,116.11
VID10098,Video Tutorial #232,2025-10-27,40429,4961,728,3141,196,Browse Features,TV,India,49684,2.12,64,10.63
VID10099,Video Tutorial #134,2023-07-02,45464,2372,395,19060,138,External,Tablet,Germany,73351,14.76,523,136.22
VID10100,Video Tutorial #259,2023-12-05,7585,3301,208,16943,42,Notifications,Mobile,India,69453,17.2,582,42.61
VID10101,Video Tutorial #198,2025-02-09,47322,3668,500,17638,197,Browse Features,Mobile,India,95129,7.16,882,134.88
VID10102,Video Tutorial #198,2024-09-11,42182,727,462,12088,150,YouTube Search,Tablet,USA,83090,3.58,153,116.14
VID10103,Video Tutorial #232,2025-03-15,2858,1649,585,6215,39,External,TV,Australia,4700,6.55,86,130.74
VID10104,Video Tutorial #273,2024-02-24,13105,4313,226,13879,62,YouTube Search,Mobile,Canada,108386,10.9,835,32.5
VID10105,Video Tutorial #138,2023-09-21,27655,1270,374,668,129,YouTube Search,Mobile,Australia,33862,6.39,485,89.56
VID10106,Video Tutorial #17,2025-05-21,26715,4544,499,14392,86,Notifications,Desktop,Canada,119106,11.38,264,14.49
VID10107,Video Tutorial #57,2024-01-05,32817,319,92,12132,72,Browse Features,Tablet,Germany,138842,17.44,637,30.74
VID10108,Video Tutorial #154,2022-11-12,4347,3476,459,11069,174,External,Mobile,Germany,17441,12.4,421,46.83
VID10109,Video Tutorial #294,2025-06-27,44027,2779,576,13345,103,YouTube Search,Tablet,USA,95240,7.17,521,111.25
VID10110,Video Tutorial #295,2023-05-17,20993,3059,320,18085,157,YouTube Search,Mobile,Canada,84174,16.91,860,4.19
VID10111,Video Tutorial #230,2024-12-20,33266,4135,9,10427,15,Notifications,Console,Canada,17115,10.62,372,135.52
VID10112,Video Tutorial #84,2021-11-29,5058,1603,302,11268,58,YouTube Search,TV,Germany,110280,3.18,673,11.09
VID10113,Video Tutorial #3,2024-06-26,21327,2257,321,10149,46,External,Desktop,UK,124681,9.48,205,56.79
VID10114,Video Tutorial #59,2022-08-15,49995,830,455,9567,115,Suggested Videos,Tablet,USA,49949,12.11,81,12.62
VID10115,Video Tutorial #151,2023-10-07,16870,856,277,7745,157,YouTube Search,Desktop,Canada,114819,15.25,579,115.46
VID10116,Video Tutorial #215,2023-08-27,6062,2649,597,19524,108,Suggested Videos,TV,USA,15952,16.92,507,21.63
VID10117,Video Tutorial #189,2022-04-07,22303,1859,537,17361,8,Suggested Videos,Mobile,Germany,55461,6.4,518,132.77
VID10118,Video Tutorial #190,2024-10-06,29252,1103,729,17798,64,Browse Features,Console,Canada,111894,3.64,884,79.77
VID10119,Video Tutorial #155,2024-05-22,29286,2482,392,9957,58,Suggested Videos,TV,USA,62455,2.26,34,142.3
VID10120,Video Tutorial #226,2025-01-08,1670,1821,94,15554,101,Browse Features,Console,UK,124873,13.55,754,43.91
VID10121,Video Tutorial #129,2022-12-31,46402,4938,755,14805,191,Notifications,Console,Canada,27510,14.52,661,68.42
VID10122,Video Tutorial #245,2024-04-09,33766,2080,106,19362,135,External,Desktop,Canada,141067,7.96,867,104.29
VID10123,Video Tutorial #118,2025-05-03,9369,3159,389,1589,122,Notifications,Console,India,34024,7.73,238,124.87
VID10124,Video Tutorial #284,2021-12-29,16625,2441,759,10997,179,Browse Features,Console,Germany,112722,17.22,246,63.49
VID10125,Video Tutorial #58,2025-07-23,12254,3685,525,6002,145,YouTube Search,Tablet,Germany,70931,16.58,565,133.92
VID10126,Video Tutorial #199,2022-02-10,12002,1256,672,60,90,External,Console,India,143436,4.97,371,18.14
VID10127,Video Tutorial #246,2024-09-24,17837,2958,70,6462,95,External,Console,Australia,28138,14.27,746,106.45
VID10128,Video Tutorial #140,2024-10-17,33922,3652,663,5163,57,External,Desktop,Germany,117036,11.59,430,52.56
VID10129,Video Tutorial #7,2024-03-10,29426,2240,586,15350,176,External,Tablet,Canada,9236,3.62,491,15.65
VID10130,Video Tutorial #153,2025-06-13,598,1940,375,13910,31,Browse Features,Mobile,Canada,13313,7.07,767,58.31
VID10131,Video Tutorial #218,2025-11-09,11690,270,726,14980,47,Browse Features,Tablet,India,108646,4.02,759,132.09
VID10132,Video Tutorial #254,2025-02-11,26487,4831,367,2797,44,Notifications,Desktop,Germany,27531,6.02,240,147.09
VID10133,Video Tutorial #284,2024-12-20,22195,4065,50,13391,181,Suggested Videos,Desktop,India,42390,11.46,55,59.22
VID10134,Video Tutorial #151,2024-08-17,7953,4980,142,15599,99,Notifications,Desktop,India,96915,7.38,281,133.02
VID10135,Video Tutorial #3,2025-06-11,18218,3776,418,15849,99,YouTube Search,Mobile,Canada,130474,7.7,32,76.69
VID10136,Video Tutorial #97,2023-04-26,26913,1113,547,2165,45,External,Tablet,UK,42847,10.17,31,107.69
VID10137,Video Tutorial #42,2024-05-04,43431,649,499,7029,158,Suggested Videos,Tablet,Canada,76074,2.48,633,7.28
VID10138,Video Tutorial #5,2024-11-16,28598,1180,166,7617,164,Browse Features,Desktop,Australia,79863,13.56,31,83.82
VID10139,Video Tutorial #299,2022-12-11,9040,2143,747,10938,143,YouTube Search,Mobile,UK,129232,7.83,179,10.99
VID10140,Video Tutorial #33,2023-10-07,11517,17,259,15667,173,YouTube Search,Mobile,Canada,73094,9.17,612,40.66
VID10141,Video Tutorial #231,2025-10-26,23951,117,191,8608,125,Suggested Videos,Mobile,Canada,69115,17.56,33,85.24
VID10142,Video Tutorial #268,2022-05-10,23351,1546,201,11581,45,External,Tablet,Canada,146059,6.85,526,121.17
VID10143,Video Tutorial #260,2023-09-01,37056,3152,773,16216,120,Browse Features,Mobile,USA,151,12.02,579,84.35
VID10144,Video Tutorial #179,2022-01-04,19694,2694,184,11897,87,External,Console,India,67795,7.67,497,140.46
VID10145,Video Tutorial #139,2021-10-19,4417,4090,157,15038,60,YouTube Search,Mobile,Canada,28591,16.2,99,121.64
VID10146,Video Tutorial #92,2021-12-21,38469,1277,757,15985,45,External,Console,India,16180,15.39,230,23.86
VID10147,Video Tutorial #201,2025-10-24,16254,3241,621,13849,178,YouTube Search,Console,Germany,34980,5.11,337,58.65
VID10148,Video Tutorial #62,2023-10-25,19805,4943,98,13929,189,External,TV,Australia,111156,12.76,281,100.44
VID10149,Video Tutorial #106,2024-12-13,2143,3789,240,5422,162,Notifications,Console,Australia,47461,2.11,316,140.79
VID10150,Video Tutorial #63,2024-10-06,4051,372,490,4509,80,External,Tablet,Canada,87785,17.37,321,148.16
VID10151,Video Tutorial #189,2022-08-02,30833,2808,201,4919,169,Browse Features,Console,India,80975,6.93,183,114.6
VID10152,Video Tutorial #263,2025-06-07,22990,156,633,15488,44,Notifications,TV,India,94941,15.14,162,86.28
VID10153,Video Tutorial #297,2024-05-12,7860,2662,508,11104,117,Suggested Videos,Desktop,UK,147765,6.41,615,113.61
VID10154,Video Tutorial #103,2023-12-07,44090,465,628,19656,195,External,Mobile,Australia,147339,11.76,303,41.35
VID10155,Video Tutorial #58,2025-06-30,37372,4879,95,19383,46,Suggested Videos,Desktop,USA,88191,17.72,812,42.9
VID10156,Video Tutorial #93,2021-12-14,26058,4900,745,7664,157,Browse Features,TV,Canada,33105,15.9,726,98.33
VID10157,Video Tutorial #293,2025-09-06,18951,4316,489,15992,151,Suggested Videos,Tablet,India,65571,3.73,538,130.84
VID10158,Video Tutorial #49,2023-09-28,27483,1774,578,18618,193,Suggested Videos,Tablet,Germany,126818,10.31,382,145.49
VID10159,Video Tutorial #257,2024-02-13,41515,117,217,2930,170,External,TV,USA,106479,6.93,34,51.53
VID10160,Video Tutorial #236,2023-10-13,22239,2104,526,5625,161,Suggested Videos,TV,India,50828,8.38,322,119.58
VID10161,Video Tutorial #137,2023-07-02,45189,1375,272,4325,22,External,TV,USA,139863,6.7,389,127.8
VID10162,Video Tutorial #157,2023-07-23,28780,3204,218,12470,60,YouTube Search,Mobile,Canada,9856,6.71,627,93.66
VID10163,Video Tutorial #121,2024-07-30,9286,4404,785,2793,164,Browse Features,Desktop,Germany,123770,10.22,243,52.46
VID10164,Video Tutorial #158,2024-11-14,46587,3547,658,9615,12,Notifications,TV,UK,36408,4.26,435,93.05
VID10165,Video Tutorial #104,2025-02-27,7111,3978,331,12799,198,YouTube Search,TV,Germany,64179,10.14,465,87.88
VID10166,Video Tutorial #26,2024-04-18,18638,4318,452,11850,6,YouTube Search,Console,India,65624,5.74,44,91.18
VID10167,Video Tutorial #216,2022-01-29,3952,1197,151,19202,169,Suggested Videos,Tablet,USA,9427,5.91,302,93.08
VID10168,Video Tutorial #86,2022-11-17,34170,3412,346,3341,165,Notifications,Tablet,Australia,105661,13.56,592,127.14
VID10169,Video Tutorial #240,2022-05-10,34414,797,413,18572,179,Suggested Videos,Tablet,Australia,94536,1.5,794,25.93
VID10170,Video Tutorial #111,2024-11-24,41585,3893,526,17191,171,External,Mobile,Canada,16633,7.48,74,55.41
VID10171,Video Tutorial #110,2023-03-04,33497,151,430,2856,191,External,Desktop,India,97517,7.93,732,88.11
VID10172,Video Tutorial #6,2023-02-05,28924,3250,378,939,140,Suggested Videos,Tablet,Germany,93418,9.25,663,42.86
VID10173,Video Tutorial #196,2022-12-28,20146,112,427,4828,27,Suggested Videos,TV,Canada,40529,12.37,441,146.73
VID10174,Video Tutorial #90,2025-07-21,12070,683,83,19485,95,Notifications,Tablet,Canada,86448,7.28,216,39.84
VID10175,Video Tutorial #94,2021-11-13,44914,1162,191,2272,106,YouTube Search,Console,Germany,73165,4.62,755,70.71
VID10176,Video Tutorial #11,2025-05-12,44203,2380,40,12785,97,Browse Features,Desktop,USA,93496,16.04,690,131.67
VID10177,Video Tutorial #40,2023-10-22,41327,4989,772,7559,111,YouTube Search,Console,India,13754,17.68,199,12.47
VID10178,Video Tutorial #146,2022-01-13,21735,161,308,19874,0,YouTube Search,Console,Germany,133280,1.34,750,123.19
VID10179,Video Tutorial #142,2022-12-15,38552,1426,377,19736,42,YouTube Search,Console,Germany,69583,10.29,623,85.87
VID10180,Video Tutorial #207,2025-03-10,15725,3662,135,9419,41,Suggested Videos,Tablet,Germany,7999,6.81,430,5.25
VID10181,Video Tutorial #101,2024-09-08,24415,278,789,9666,94,External,Desktop,Germany,144544,5.71,737,135.49
VID10182,Video Tutorial #264,2023-10-23,22326,3392,105,4184,177,Browse Features,TV,India,96009,6.71,275,6.36
VID10183,Video Tutorial #219,2021-12-17,12743,1557,518,4780,187,External,Desktop,India,105071,11.86,886,77.53
VID10184,Video Tutorial #237,2024-04-10,23563,4593,541,5843,128,Browse Features,TV,UK,91824,4.24,898,7.83
VID10185,Video Tutorial #41,2024-09-19,23671,1916,125,18687,50,Suggested Videos,Desktop,USA,29395,16.52,581,11.14
VID10186,Video Tutorial #112,2022-09-10,23761,4751,356,2055,143,External,Desktop,UK,80665,8.92,709,133.14
VID10187,Video Tutorial #264,2024-02-20,40225,3108,399,1047,166,Notifications,Console,India,49674,6.53,72,114.99
VID10188,Video Tutorial #238,2022-05-22,44604,303,78,6252,14,Notifications,Desktop,UK,101167,14.01,870,29.94
VID10189,Video Tutorial #143,2025-05-23,27835,4534,388,9661,124,YouTube Search,Console,Canada,30166,1.28,752,93.26
VID10190,Video Tutorial #284,2023-08-05,2592,2774,578,12331,160,Browse Features,Mobile,Canada,140117,8.34,208,119.3
VID10191,Video Tutorial #226,2022-11-30,17112,4282,534,6172,86,Notifications,Tablet,Canada,29518,7.04,486,133.49
VID10192,Video Tutorial #160,2024-04-04,5416,3246,700,4083,52,YouTube Search,TV,Canada,82707,6.75,564,70.51
VID10193,Video Tutorial #24,2023-03-09,26515,4769,73,17677,144,Notifications,TV,Australia,49974,6.73,636,134.68
VID10194,Video Tutorial #201,2024-03-11,32336,1001,4,16045,88,External,Console,Australia,112258,1.53,701,76.42
VID10195,Video Tutorial #285,2022-04-21,40228,3835,462,6742,105,Browse Features,Tablet,USA,148302,3.59,273,103.39
VID10196,Video Tutorial #177,2023-12-01,42653,4007,81,3497,5,External,Tablet,UK,86357,3.41,46,146.86
VID10197,Video Tutorial #210,2025-05-31,13697,4779,536,2194,30,External,Mobile,Canada,130638,17.81,141,35.77
VID10198,Video Tutorial #120,2025-08-16,38359,1719,775,13900,196,Suggested Videos,Tablet,UK,49735,1.38,644,25.69
VID10199,Video Tutorial #50,2024-02-01,43251,3831,404,19581,39,Notifications,Console,Germany,113123,3.84,855,51.63
VID10200,Video Tutorial #234,2023-10-19,43365,3182,513,9427,157,Browse Features,Mobile,Germany,99937,17.56,627,25.08
VID10201,Video Tutorial #169,2023-04-14,9910,2883,277,5505,68,YouTube Search,Desktop,Australia,17504,11.68,576,42.98
VID10202,Video Tutorial #109,2023-08-31,10795,999,223,18691,134,Suggested Videos,TV,USA,72729,8.66,59,111.58
VID10203,Video Tutorial #286,2024-06-15,6868,285,583,14791,12,YouTube Search,Desktop,Australia,13256,2.34,221,71.89
VID10204,Video Tutorial #195,2023-03-28,14151,421,67,7107,3,Browse Features,TV,Germany,50099,12.38,466,56.57
VID10205,Video Tutorial #208,2022-05-25,5078,2161,319,8479,177,External,Console,Germany,144957,3.34,208,55.62
VID10206,Video Tutorial #128,2025-09-16,32775,3066,605,12409,2,Suggested Videos,Mobile,Australia,14794,12.41,645,29.58
VID10207,Video Tutorial #121,2025-07-17,48616,2276,18,16212,139,Notifications,Mobile,Germany,69649,17.65,706,67.39
VID10208,Video Tutorial #237,2024-11-08,43772,1495,639,19938,64,Suggested Videos,Mobile,Canada,32899,10.04,503,93.88
VID10209,Video Tutorial #265,2022-08-12,21137,3885,342,10995,26,External,TV,Germany,90388,4.64,663,21.3
VID10210,Video Tutorial #63,2023-10-12,45588,4624,593,6841,106,External,Tablet,USA,142328,11.63,163,145.94
VID10211,Video Tutorial #253,2022-12-26,9488,2544,765,16785,49,External,TV,USA,141476,9.72,831,66.77
VID10212,Video Tutorial #14,2024-02-08,18206,4127,732,978,16,YouTube Search,Desktop,UK,40745,10.06,341,142.22
VID10213,Video Tutorial #1,2023-02-17,18598,4258,342,10392,199,Suggested Videos,Console,USA,77714,9.13,765,20.63
VID10214,Video Tutorial #143,2023-11-12,39929,1842,96,5161,31,External,Console,India,133487,12.45,54,115.2
VID10215,Video Tutorial #281,2022-11-23,24817,4801,51,10828,178,Notifications,TV,USA,98469,10.72,400,92.84
VID10216,Video Tutorial #273,2024-09-30,38931,722,174,19701,16,YouTube Search,TV,UK,12520,17.78,554,123.1
VID10217,Video Tutorial #16,2023-09-18,2613,1402,337,10802,33,External,Desktop,UK,18412,15.04,348,90.3
VID10218,Video Tutorial #27,2023-12-16,48707,446,693,6135,34,Browse Features,Tablet,Germany,21495,5.5,259,144.44
VID10219,Video Tutorial #210,2023-06-26,8548,2792,352,4380,151,External,Tablet,Germany,40401,13.34,131,94.23
VID10220,Video Tutorial #199,2023-07-31,8181,4523,390,4848,181,Browse Features,Desktop,India,47072,4.64,479,117.8
VID10221,Video Tutorial #104,2024-10-29,25157,3768,114,16185,145,Suggested Videos,Desktop,UK,63394,14.3,407,131.7
VID10222,Video Tutorial #227,2023-02-09,28843,2552,347,3144,49,YouTube Search,TV,Canada,80953,3.51,232,107.33
VID10223,Video Tutorial #108,2021-12-19,2746,1968,0,12701,173,External,TV,USA,120235,9.05,296,78.87
VID10224,Video Tutorial #90,2022-01-16,23755,3889,62,10441,175,Notifications,Console,Germany,82604,14.44,491,41.29
VID10225,Video Tutorial #257,2024-04-08,23447,4817,759,11566,102,External,Desktop,UK,22954,5.76,394,128.25
VID10226,Video Tutorial #258,2025-06-11,7754,2732,742,1064,32,Notifications,Console,UK,121473,15.23,763,72.35
